MH,MLH,MRH,NLDP,NRDP,TARGET
23,0,3,0,2,0
31,5,0,3,0,0
25,0,3,0,3,0
8,0,5,0,1,0
22,0,5,0,4,0
28,6,0,2,0,0
24,0,4,0,3,0
17,4,0,4,0,0
36,0,14,0,5,0
23,0,4,0,1,0
20,2,0,2,0,0
25,5,0,5,0,0
24,0,11,0,6,0
29,7,0,7,0,0
39,7,0,5,0,0
29,0,6,0,5,0
32,0,6,0,6,0
17,8,0,2,0,0
27,0,5,0,5,0
28,6,0,4,0,0
31,0,4,0,4,0
11,0,1,0,1,0
30,0,3,0,3,0
27,0,4,0,4,0
25,3,0,3,0,0
50,0,7,0,4,0
41,0,10,0,3,0
19,0,3,0,3,0
20,8,11,4,4,0
11,0,2,0,2,0
77,73,74,11,13,1
52,8,22,2,8,1
37,32,32,14,13,1
25,19,7,9,6,1
67,57,61,8,13,1
72,61,71,11,16,1
98,84,19,19,12,1
183,111,157,19,16,1
83,22,60,9,18,1
29,22,13,9,5,1
64,53,55,12,12,1
40,26,33,15,12,1
48,48,45,14,11,1
28,19,22,8,14,1
31,8,8,7,8,1
79,27,24,15,16,1
50,44,47,12,15,1
33,16,5,10,5,1
24,19,24,12,12,1
106,96,106,16,11,1
47,33,24,13,8,1
35,5,27,5,4,1
66,24,5,8,2,1
56,15,45,2,9,1
40,17,32,12,18,1
36,14,21,7,8,1
36,14,29,7,11,1
31,8,4,7,2,1
58,34,23,12,16,1
157,157,95,15,15,1
